id_base_fractura_adjiv,idpozo,sigla,areapermisoconcesion,yacimiento,formacion_productiva,tipo_reservorio,subtipo_reservorio,longitud_rama_horizontal_m,cantidad_fracturas,tipo_terminacion,arena_bombeada_nacional_tn,arena_bombeada_importada_tn,agua_inyectada_m3,co2_inyectado_m3,presion_maxima_psi,potencia_equipos_fractura_hp,fecha_inicio_fractura,fecha_fin_fractura,fecha_data,empresa_informante,mes
30,159910,APS.Nq.ADC.xp-1033,AGUA DEL CAJON,AGUA DEL CAJON,los molles,NO CONVENCIONAL,SHALE,0,3,Punzado,0,0,2718.2,0,10190,10897,2019-04-20,2019-04-30,2019-06-14 17:13:03.68279,CAPEX S.A.,4
31,159910,APS.Nq.ADC.xp-1033,AGUA DEL CAJON,AGUA DEL CAJON,los molles,NO CONVENCIONAL,SHALE,0,1,Punzado,0,0,600,0,9250,10251,2018-11-02,2018-11-03,2019-06-14 17:14:19.179874,CAPEX S.A.,11
37,159219,YPF.Nq.AdlA-1001(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1437.3,18,Tapón disparo,3761.37,536.85,25768.3,0,15000,32000,2017-11-19,2017-12-14,2019-06-27 13:46:21.14935,YPF S.A.,11
38,159220,YPF.Nq.AdlA-1002(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1518.3,19,Tapón disparo,3903.705,558.225,27398.37,0,11348,32000,2017-11-21,2017-12-15,2019-06-27 13:46:21.14935,YPF S.A.,11
39,159221,YPF.Nq.AdlA-1003(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1482.3,19,Tapón disparo,3949.02,569.925,27157.6,0,11076,32000,2017-11-18,2017-12-15,2019-06-27 13:46:21.14935,YPF S.A.,11
40,160426,YPF.Nq.AdlA-1004(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1424,18,Tapón disparo,3747.015,550.71,26054,0,11900,32000,2019-01-17,2019-02-02,2019-06-27 13:46:21.14935,YPF S.A.,1
41,160518,YPF.Nq.AdlA-1005(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1504,19,Tapón disparo,3883.05,572.895,27624,0,11750,32000,2019-01-17,2019-02-03,2019-06-27 13:46:21.14935,YPF S.A.,1
42,160519,YPF.Nq.AdlA-1006(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1504,19,Tapón disparo,3959.685,572.805,28123,0,11400,32000,2019-01-18,2019-02-03,2019-06-27 13:46:21.14935,YPF S.A.,1
43,160427,YPF.Nq.AdlA-1007(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1984.3,25,Tapón disparo,5077.35,753.254999999999,35715,0,11250,34000,2018-09-02,2018-10-01,2019-06-27 13:46:21.14935,YPF S.A.,9
44,160330,YPF.Nq.AdlA-1008(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1984.3,25,Tapón disparo,5111.28,742.005,36085,0,11350,34000,2018-09-03,2018-10-02,2019-06-27 13:46:21.14935,YPF S.A.,9
45,160331,YPF.Nq.AdlA-1009(h),AGUADA DE LA ARENA,AGUADA DE LA ARENA,vaca muerta,NO CONVENCIONAL,SHALE,1984.3,25,Tapón disparo,5098.23,764.235000000001,36014,0,11480,34000,2018-09-03,2018-10-02,2019-06-27 13:46:21.14935,YPF S.A.,9
